transaction_id,sku,transaction_ts,revenue_eur,store_id,region,customer_id,customer_email
e52c3a75-5a13-4a0c-9f3a-763879966e78,SKU-HOMECARE-0007,2026-03-21 07:31:42,222.85,STORE_DACH_001,DACH,CUST-000251,cust.000251@example.com
d7e86fe5-19c3-4abc-8f8a-e8e4ab8d8949,SKU-BEAUTY-0005,2026-02-22 09:22:38,177.76,STORE_EE_002,EE,CUST-000033,cust.000033@example.com
09b27782-0e31-42d3-a31a-6b19a6e0b74b,SKU-ADHESIVE-0018,2026-02-19 21:56:37,60.85,STORE_DACH_009,DACH,CUST-000666,cust.000666@example.com
0ecf21eb-38e2-4350-a1d1-c65fcbce10f1,SKU-HAIR-0020,2025-12-09 07:12:05,228.0,STORE_NORDIC_001,NORDIC,CUST-000164,cust.000164@example.com
9f20992d-3fe3-4bd5-aeae-c192eb4f8a2c,SKU-LAUNDRY-0014,2026-04-03 05:15:25,29.18,STORE_NORDIC_002,NORDIC,CUST-000100,cust.000100@example.com
02231c84-fe3d-4c83-a578-6bcb839207f4,SKU-HOMECARE-0001,2026-02-25 14:16:39,161.56,STORE_DACH_008,DACH,CUST-000388,cust.000388@example.com
6c589e28-c43a-4bb2-a72b-7cd5b3c0dbf6,SKU-LAUNDRY-0018,2025-11-12 23:37:27,58.9,STORE_NORDIC_010,NORDIC,CUST-000072,cust.000072@example.com
9de305b5-8cfb-4302-b4c9-6a87bfc722b2,SKU-ADHESIVE-0008,2026-01-05 11:26:53,114.96,STORE_BENELUX_002,BENELUX,CUST-000465,cust.000465@example.com
3d65b2f1-5277-4a15-9e4d-4a6219bd3107,SKU-LAUNDRY-0002,2026-02-09 05:02:20,210.99,STORE_BENELUX_005,BENELUX,CUST-000700,cust.000700@example.com
a2e6c62e-e6cd-4e7f-aba0-dc16627f2291,SKU-BEAUTY-0012,2025-12-10 03:14:51,139.48,STORE_BENELUX_003,BENELUX,CUST-000277,cust.000277@example.com
bc9e5b91-645d-43fb-8f4d-119632df8a56,SKU-HAIR-0009,2025-12-08 11:01:04,69.87,STORE_NORDIC_001,NORDIC,CUST-000033,cust.000033@example.com
f9e52afe-effd-4218-904d-c94a5df6bed3,SKU-ADHESIVE-0019,2025-11-25 05:35:47,64.97,STORE_EE_006,EE,CUST-000512,cust.000512@example.com
76c64ea0-c5ef-4e42-95a7-39c6e8324eab,SKU-ADHESIVE-0015,2026-04-20 19:55:28,75.12,STORE_NORDIC_003,NORDIC,CUST-000575,cust.000575@example.com
7b466b2a-daff-4e65-b4dd-a08eba960812,SKU-HAIR-0007,2026-04-13 16:47:49,109.55,STORE_EE_007,EE,CUST-000142,cust.000142@example.com
b7b88aa8-da66-4645-b6cb-d9bcdabd2d76,SKU-ADHESIVE-0009,2026-02-21 04:48:28,188.79,STORE_DACH_003,DACH,CUST-000697,cust.000697@example.com
08c64359-79be-4985-8a01-51f88209cc9e,SKU-HOMECARE-0013,2025-11-19 17:36:59,76.54,STORE_IBERIA_009,IBERIA,CUST-000567,cust.000567@example.com
704a2de3-e85f-4021-a411-f595e7121962,SKU-ADHESIVE-0019,2025-10-29 02:53:27,230.92,STORE_EE_005,EE,CUST-000349,cust.000349@example.com
4a6f4ee4-8103-4549-9ed1-e2580147119a,SKU-LAUNDRY-0019,2026-04-09 22:13:48,228.94,STORE_NORDIC_009,NORDIC,CUST-000520,cust.000520@example.com
2dead982-3fba-4f6b-bb00-5af987487637,SKU-HOMECARE-0020,2026-04-25 14:37:15,60.87,STORE_EE_010,EE,CUST-000383,cust.000383@example.com
cdbb2fdb-43f0-42ee-9c10-9148f5548bb4,SKU-ADHESIVE-0007,2026-04-17 02:54:26,,STORE_EE_001,EE,CUST-000501,cust.000501@example.com
d08f1a96-0434-4c9b-8bc0-b6735741dcd0,SKU-BEAUTY-0003,2026-04-04 22:42:38,18.79,STORE_NORDIC_004,NORDIC,CUST-000581,cust.000581@example.com
604632d3-959a-40ae-be29-f25ff56067ac,SKU-LAUNDRY-0002,2025-12-18 23:01:12,230.09,STORE_DACH_009,DACH,CUST-000132,cust.000132@example.com
63e3fe8e-8b80-4676-8647-41088c41bb6e,SKU-HOMECARE-0009,2025-12-06 13:11:54,127.8,STORE_EE_010,EE,CUST-000217,cust.000217@example.com
